Tipo de Incidencia,Clave de incidencia,ID de la incidencia,Resumen,Parent summary,Prioridad,Estado,Sprint de ejecución,Tipo de prueba,Atributo,Nivel de prueba,Tag0,Tag1,Tag2,Etapa de la prueba,Ambiente,Reportado,Fecha Reporte,Versión de corrección 1,Desarrollador,Sprint última regresión,En qué versión fue corregido?,Estrategia de ejecución
Test Case,ASE-T1768,NGA-E10642,P / Time Off Request: (W) Records of Change Request submitted for ITOR that exhaust (system) midway through a day (change request to Pending status),,Happy Path,Fail,Mar/17/2025 - Mar/30/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Daniela Medina,17/03/2025,0,Nicole Gagneux,NGA-13281 Time Off Request case activity is not being displayed in UI,,Automation Not Planned
Test Case,ASE-T1768,NGA-E10647,P / Time Off Request: (W) Records of Change Request submitted for ITOR that exhaust (system) midway through a day (change request to Pending status),,Happy Path,Fail,Mar/17/2025 - Mar/30/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Daniela Medina,17/03/2025,0,Nicole Gagneux,NGA-13281 Time Off Request case activity is not being displayed in UI,,Automation Not Planned
Test Case,ASE-T1790,NGA-E10639,P / Time Off Request: (W) Records of New Requests submitted with different status in an approved span,TST-682,Happy Path,Fail,Mar/17/2025 - Mar/30/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,,Daniela Medina,18/03/2025,0,Nicole Gagneux,NGA-13281 Time Off Request case activity is not being displayed in UI,,Automation Not Planned
Test Case,ASE-T2071,NGA-E10644,P/ Time Off Request: (W) Record is generated after editing an approved intermittent time off request,ASE-1247,Normal,Pass,Mar/17/2025 - Mar/30/2025,Functional,AbsenceTracker,End-to-End,Abacus,,High,Done,,Rani Patha,17/03/2025,0,Wara Rojas,NGA-13281 Time Off Request case activity is not being displayed in UI,,Automation Planned
Test Case,ASE-T2072,NGA-E10643,P/ Time Off Request: (W) Record is generated after removing an intermittent time off request,ASE-1247,Normal,Pass,Mar/17/2025 - Mar/30/2025,Functional,AbsenceTracker,End-to-End,Abacus,,High,Done,,Maximiliano Sosa,17/03/2025,0,Wara Rojas,NGA-13281 Time Off Request case activity is not being displayed in UI,,Automation Not Planned
Test Case,ASE-T2130,NGA-E10460,"DB/ Calculation: w/approved intermittent case, itors pending/approved/denied, single policy FMLA","ASE-1270,ASE-1345,NGA-12437",Normal,Fail,Feb/17/2025 - Mar/02/2025,Functional,AbsenceTracker,End-to-End,Abacus,,High,Done,,Maximiliano Sosa,21/02/2025,0,Wara Rojas,NGA-12437 New Case Activity changes on data level - ITOR Calculation Changes (after caching issues resolved),,Automation Not Planned
Test Case,ASE-T2130,NGA-E10469,"DB/ Calculation: w/approved intermittent case, itors pending/approved/denied, single policy FMLA","ASE-1270,ASE-1345,NGA-12437",Normal,Pass,Feb/17/2025 - Mar/02/2025,Functional,AbsenceTracker,End-to-End,Abacus,,High,Done,,Maximiliano Sosa,21/02/2025,0,Wara Rojas,NGA-12437 New Case Activity changes on data level - ITOR Calculation Changes (after caching issues resolved),,Automation Not Planned
Test Case,ASE-T2147,NGA-E10793,DB / Percentage of work week captured in user array when policy has 'work week' entitlement type,ASE-1322,Normal,Pass,Mar/24/2025 - Apr/06/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,Dev5,Maximiliano Sosa,26/03/2025,0,Nicole Gagneux,NGA-12585 - Capture Percent Work Week Used in Usage Records (after caching issues resolved),,Automation Not Planned
Test Case,ASE-T2147,NGA-E11299,DB / Percentage of work week captured in user array when policy has 'work week' entitlement type,ASE-1322,Normal,Pass,Jun/02/2025 - Jun/15/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,Test1,Paolo Calderon,3/6/2025,0,Nicole Gagneux,Platform_202506.0 - Abacus,Platform_202506.2,Automated
Test Case,ASE-T2202,NGA-E10462,BD/ Calculation: Earlier case impacts intermittent time off requests on another case,"ASE-1270,ASE-1345,NGA-12437",Normal,Fail,Feb/17/2025 - Mar/02/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Paolo Calderon,21/02/2025,0,Nicole Gagneux,NGA-12437 New Case Activity changes on data level - ITOR Calculation Changes (after caching issues resolved),,Automation Planned
Test Case,ASE-T2202,NGA-E10468,BD/ Calculation: Earlier case impacts intermittent time off requests on another case,"ASE-1270,ASE-1345,NGA-12437",Normal,Pass,Feb/17/2025 - Mar/02/2025,Functional,Calcs,End-to-End,Abacus,,High,Done,,Maximiliano Sosa,21/02/2025,0,Nicole Gagneux,NGA-12437 New Case Activity changes on data level - ITOR Calculation Changes (after caching issues resolved),,Automation Not Planned
Test Case,ASE-T2261,NGA-E10446,Compare Tool - Analyze expected calculation changes,"ASE-1224,NGA-12427",High,Pass,Feb/24/2025 - Mar/09/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,,Paolo Calderon,28/02/2025,0,Nicole Gagneux,NGA-12430 - Zebra Striping if FTE % work schedule contains a decimal (PSD-8801),,Automation Planned
Test Case,ASE-T2261,NGA-E10589,Compare Tool - Analyze expected calculation changes,"ASE-1224,NGA-12427",High,Pass,Mar/31/2025 - Apr/13/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,,Paolo Calderon,4/4/2025,0,Nicole Gagneux,"NGA-12586 Add support for period window to Applied Entitlements (Policy version 2.1) - Rolling Forward, Sunday Forward",,Automation Planned
Test Case,ASE-T2261,NGA-E10650,Compare Tool - Analyze expected calculation changes,"ASE-1224,NGA-12427",High,Fail,Mar/17/2025 - Mar/30/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,,Maximiliano Sosa,18/03/2025,0,Nicole Gagneux,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
Test Case,ASE-T2261,NGA-E10655,Compare Tool - Analyze expected calculation changes,"ASE-1224,NGA-12427",High,Pass,Mar/24/2025 - Apr/06/2025,Regression,Calcs,End-to-End,Abacus,,High,Done,Clone2,Maria Cancqui,26/03/2025,0,Nicole Gagneux,NGA-12429 Leap Year Entitlement - Rolling Back Accrual (PSD-6291),,Automation Not Planned
